no,original_text,paraphrased_text,method,quality_score,semantic_similarity,lexical_diversity,fluency_score,processing_time,word_changes,syntax_changes,success
1,Penelitian ini menggunakan metode kualitatif untuk menganalisis data wawancara dari responden.,Penelitian ini menggunakan metode kualitatif untuk menganalisis data wawancara dari responden.,hybrid,0.0,0.0,0.0,0.0,1.002,0,0,False
2,Teknologi artificial intelligence berkembang pesat dalam dekade terakhir dan memberikan dampak signifikan.,Teknologi artificial intelligence berkembang pesat dalam dekade terakhir dan memberikan dampak signifikan.,hybrid,0.0,0.0,0.0,0.0,2.5443,0,0,False
3,Pemerintah Indonesia mencanangkan program digitalisasi untuk meningkatkan pelayanan publik.,Pemerintah Indonesia mencanangkan program digitalisasi untuk meningkatkan pelayanan publik.,hybrid,0.0,0.0,0.0,0.0,0.9819,0,0,False
4,Mahasiswa diharapkan mampu mengembangkan kemampuan berpikir kritis melalui kegiatan pembelajaran.,Mahasiswa diharapkan mampu mengembangkan kemampuan berpikir kritis melalui kegiatan pembelajaran.,hybrid,0.0,0.0,0.0,0.0,0.8614,0,0,False
5,Perubahan iklim global mempengaruhi pola cuaca dan mengancam ketahanan pangan di berbagai negara.,Perubahan iklim global mempengaruhi pola cuaca dan mengancam ketahanan pangan di berbagai negara.,hybrid,0.0,0.0,0.0,0.0,1.0047,0,0,False
6,Penggunaan media sosial telah mengubah cara masyarakat berkomunikasi dan berinteraksi.,Penggunaan media sosial telah mengubah cara masyarakat berkomunikasi dan berinteraksi.,hybrid,0.0,0.0,0.0,0.0,0.7794,0,0,False
7,Hasil penelitian menunjukkan bahwa motivasi belajar berpengaruh terhadap prestasi akademik siswa.,Hasil penelitian menunjukkan bahwa motivasi belajar berpengaruh terhadap prestasi akademik siswa.,hybrid,0.0,0.0,0.0,0.0,1.1486,0,0,False
8,Ekonomi digital membuka peluang baru bagi pelaku usaha mikro kecil dan menengah.,Ekonomi digital membuka peluang baru bagi pelaku usaha mikro kecil dan menengah.,hybrid,0.0,0.0,0.0,0.0,0.9885,0,0,False
9,Pendidikan karakter menjadi fokus utama dalam kurikulum pendidikan nasional saat ini.,Pendidikan karakter menjadi fokus utama dalam kurikulum pendidikan nasional saat ini.,hybrid,0.0,0.0,0.0,0.0,0.717,0,0,False
10,Inovasi teknologi informasi membantu meningkatkan efisiensi dalam berbagai sektor industri.,Inovasi teknologi informasi membantu meningkatkan efisiensi dalam berbagai sektor industri.,hybrid,0.0,0.0,0.0,0.0,0.9457,0,0,False
